City,LocalName
Vienna,Wien
Brussels,Brussel
Prague,Praha
Hanover,Hannover
Cologne,Koln
Munich,Munchen
Nuremburg,Nurnberg
Milan,Milano
Turin,Torino
Venice,Venezia
Florence,Firenze
Genoa,Genova
Naples,Napoli
Rome,Roma
Warsaw,Warszawa
Geneva,Geneve
Copenhagen,Kobenhavn
Alesund,Alisund
Gothenburg,Goteborg
Bucharest,Bucuresti
Seville,Sevilla
Villarreal,Vila-real
Tirana,Tirane
Pristina,Prishtine
Belgrade,Beograd
Athens,Athina
Heraklion,Irakleio
Larissa,Larisa
Mytilene,Mytilini
Patras,Patra
Rhodes,Rodos