Latin,Cyrillic,Greek
Balteus Yachts,Балтеус Яхты,
Baltomorsk,Балтоморск,
BLT,БЛТ,
Cemeltex,Цемелтекс,
Christopoulos Oikodomika,,Χριστόπουλος Οικοδομικά
Container port,Контейнерный Пункт,
Dimitriou S.A.,,Δημητρίου Α.Ε.
Dobra Ferma,Добра Ферма,
DomDepo,ДомДепо,
Finnish Tyres,Финские шины,
Ika Bohag,ИКА Мебель,
Ladoga Auto,Ладога Авто,
Metallurgy Muromets,Металлургия Муромец,
NCH,НКХ,
NS Chemicals,НС Химия,
NS Oil,НС Ойл,
PK Medved,ПК Медведь,
Rosmark,Росмарк,
Severoatom,Североатом,
Sirin Air,Сирин Эйр,
Stomanena Roza,Стоманена Роза,
Suprema,Супpeмa,
Sygomidi,Συγκομιδή,
Vanha Kivi,Старый Камень,
Zelenye Polja OOO,Зелëные Поля ООО,