LetterText,Writers,SignChance,Contributor
Make a delivery from {source} to {destination}.,Nix,0.1,Nixill
Make a delivery to {destination} from {source}.,Xin,0.1,Nixill
Bring a shipment from {source} to {destination}.,Grapha,0.5,Grapha
A client in {destination} is expecting a delivery from {source},Abbi,0.5,Grapha
Pick up in {source} and drop off in {destination} for a certificate,Nebula,0.5,Grapha
hi i lost my wallet in {source} can you bring it to me in {destination} thx,ronald;alfred;boba,0.75,Nixill
"my husband got lost in {source} and needs to be dragged back to {destination} please, don't mind that they're in a cargo trailer",wifi;wife;fenn;fnen;hubsand;husband,1,Fenn
"Pick up my parcel at {source}. Do not ask what is inside. Drop it off at {destination} and leave, immediately.",???;Guy with Lotsa Money;Mr. White;Sugar Addict,1,Fenn
Aleptia's Honey and Sugar has hired you to pick up supply at {source} and deliver it to {destination}. Drive safe.,Fenne;Aleptia,1,Fenn
You've been hired to test the drivability of a trailer. Pick it up at {source} and bring it to {destination}. Try not to break it on the way there.,Trailers r Us,1,Fenn
i heard {source} has great views. can you go over there and grab some pictures to deliver to me at {destination}?,grandma;grandpa;stay at home tourist,1,Fenn
We need you to advertise our truck starting from {source} to {destination}.,,0,Fenn
"Hey I bought something embarassing and had it delivered to {source}, can you deliver it to {destination} so I can keep a low profile picking it up?",Yuki,0.5,Yuki
"Hey, I'm surprising my girlfriend with a giant plush at our {destination} date, can you pick it up from {source}?",Yuki,0.5,Yuki
get {source} to {destination} or you're not a real gamer,Roz,0.4,WinnerBit
"We know it's a weird dropoff, but someone in {destination} had ordered from {source}.",,0,